crawl_timestamp,product_name,product_category,retail_price,discounted_price,discount_price,discount_percentage,product_rating,overall_rating,brand
2016-03-25,Alisha Solid Women's Cycling Shorts,Clothing,999,379,620,62,0,0,Alisha
2016-03-25,FabHomeDecor Fabric Double Sofa Bed,Furniture,32157,22646,9511,30,0,0,FabHomeDecor
2016-03-25,AW Bellies,Footwear,999,499,500,50,0,0,AW
2016-03-25,Alisha Solid Women's Cycling Shorts,Clothing,699,267,432,62,0,0,Alisha
2016-03-25,Sicons All Purpose Arnica Dog Shampoo,Pet Supplies,220,210,10,5,0,0,Sicons
2016-03-25,Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,Eternal Gandhi Super Series Crystal Paper Weight,430,430,0,0,0,0,Eternal Gandhi
2016-03-25,Alisha Solid Women's Cycling Shorts,Clothing,1199,479,720,60,0,0,Alisha
2016-03-25,"dilli bazaaar Bellies, Corporate Casuals, Casuals",Footwear,699,349,350,50,0,0,dilli bazaaar
2016-03-25,Ladela Bellies,Footwear,1724,950,774,45,5,5,Ladela
2016-03-25,Carrel Printed Women's,Clothing,2299,910,1389,60,0,0,Carrel
2016-03-25,Sicons All Purpose Tea Tree Dog Shampoo,Pet Supplies,0,0,0,0,0,0,Sicons
2016-03-25,Freelance Vacuum Bottles 350 ml Bottle,Pens Stationery,699,699,0,0,0,0,Freelance
2016-03-25,Style Foot Bellies,Footwear,899,449,450,50,0,0,Style Foot
2016-03-25,Carrel Printed Women's,Clothing,2499,999,1500,60,0,0,Carrel
2016-03-25,Sicons Conditioning Conditoner Dog Shampoo,Pet Supplies,110,100,10,9,0,0,Sicons
2016-03-25,Alisha Solid Women's Cycling Shorts,Clothing,0,0,0,0,0,0,Alisha
2016-03-31,dongli Printed Boy's Round Neck T,Clothing,2400,1039,1361,57,0,0,dongli
2016-03-31,SWAGGA Women Clogs,Footwear,1500,1500,0,0,0,0,SWAGGA
2016-01-03,Kennel Rubber Dumbell With Bell,Pet Supplies,190,190,0,0,0,0,Kennel
2016-01-03,Glus Wedding Lingerie Set,Clothing,1299,699,600,46,0,0,
2016-01-03,Veelys Shiny White Quad Roller Skates,Sports Fitness,3199,2499,700,22,0,0,
2016-01-03,Bulaky vanity case Jewellery Vanity Case,Beauty and Personal Care,499,390,109,22,3,3,
2016-01-03,FDT Women's Leggings,Clothing,699,309,390,56,0,0,
2016-01-03,Madcaps C38GR30 Men's Cargos,Clothing,2199,1699,500,23,0,0,
2016-05-11,Bengal Blooms Rose Artificial Plant  with Pot,Bengal Blooms Rose Artificial Plant with Pot 3,799,579,220,28,0,0,Bengal Blooms
2016-06-24,Indcrown Net Embroidered Semi,Clothing,999,699,300,30,0,0,Indcrown
2016-06-24,Shopmania Music Band A5 Notebook Spiral Bound,Pens Stationery,499,275,224,45,0,0,Shopmania
2016-06-24,Tiara Diaries 2016,Pens Stationery,1000,837,163,16,0,0,Tiara Diaries
2016-03-03,KAJCI Embroidered Women's Waistcoat,Clothing,1200,699,501,42,0,0,KAJCI
2016-03-03,Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag,Pens Stationery,350,298,52,15,0,0,Packman
2016-03-03,Pick Pocket Embroidered Women's Waistcoat,Clothing,899,899,0,0,0,0,Pick Pocket
2016-03-03,Angelfish Silk Potali Potli,Bags Wallets Belts,999,399,600,60,0,0,Angelfish
2016-03-03,Oye Boy's Dungaree,Clothing,899,764,135,15,0,0,Oye
2016-05-26,Nuride Canvas Shoes,Footwear,1999,1349,650,33,0,0,Nuride
2016-05-26,OM SHIVAKRITI Square wall Clock Showpiece,Home Decor Festive Needs,1499,1499,0,0,0,0,OM SHIVAKRITI
